Name,Status,Players,Mechanisms
Memoir '44,public,2,Cards|Dice|Hand management
Mercado de Lisboa,public,2-4,Tile placement|Area Majority
Meridians,public,2,
Metro,public,2-6,Tile placement
Metromania,public,2-4,Tile placement
Metz,beta,2,
Mia,beta,2-8,Dice|Bluffing|Player elimination
Micro Dojo,public,2,Worker placement
Micro Midgard,beta,2,Worker placement
Middle Ages,beta,2-5,Combos|Collection
Mighty,beta,3-7,Cards|Team|Auction|Trick-taking
Mijnlieff,public,2,
Mind Up!,public,3-6,Cards
Minhwatu,public,2-7,Cards|Hand management|Collection
Mini Rogue,public,1-2,Dice
Minnesota Whist,beta,4,Cards
Mod Ten,public,2-6,Cards|Bluffing|Random
Mojo,public,2-8,Cards|Hand management
Monster Factory,public,2-6,Tile placement
Moon River,public,2-4,
Morocco,beta,2-5,Tile placement|Area Majority
Mountain Goats,public,2-5,Dice
Mr. Jack,public,2,Bluffing|Asymmetrical
Mr. Jack Pocket,alpha,2,Asymmetrical
Murus Gallicus,public,2,
Mutant Crops,beta,1-4,Cards|Worker placement|Combos
My City,public,2-4,Tile placement|Campaign
